   Terminnummer        |         Restgæld            |        Renteudgift          |  Nettoafdrag på gæld
         1             |         99483.24            |           750.00            |       516.76
         2             |         98962.61            |           746.12            |       520.63
         3             |         98438.07            |           742.22            |       524.54
         4             |         97909.60            |           738.29            |       528.47
         5             |         97377.16            |           734.32            |       532.44
         6             |         96840.73            |           730.33            |       536.43
         7             |         96300.28            |           726.31            |       540.45
         8             |         95755.78            |           722.25            |       544.51
         9             |         95207.19            |           718.17            |       548.59
        10             |         94654.48            |           714.05            |       552.70
        11             |         94097.63            |           709.91            |       556.85
        12             |         93536.61            |           705.73            |       561.03
        13             |         92971.37            |           701.52            |       565.23
        14             |         92401.90            |           697.29            |       569.47
        15             |         91828.16            |           693.01            |       573.74
        16             |         91250.11            |           688.71            |       578.05
        17             |         90667.73            |           684.38            |       582.38
        18             |         90080.98            |           680.01            |       586.75
        19             |         89489.83            |           675.61            |       591.15
        20             |         88894.25            |           671.17            |       595.58
        21             |         88294.20            |           666.71            |       600.05
        22             |         87689.64            |           662.21            |       604.55
        23             |         87080.56            |           657.67            |       609.09
        24             |         86466.91            |           653.10            |       613.65
        25             |         85848.65            |           648.50            |       618.26
        26             |         85225.76            |           643.86            |       622.89
        27             |         84598.19            |           639.19            |       627.56
        28             |         83965.92            |           634.49            |       632.27
        29             |         83328.91            |           629.74            |       637.01
        30             |         82687.12            |           624.97            |       641.79
        31             |         82040.51            |           620.15            |       646.60
        32             |         81389.06            |           615.30            |       651.45
        33             |         80732.72            |           610.42            |       656.34
        34             |         80071.46            |           605.50            |       661.26
        35             |         79405.23            |           600.54            |       666.22
        36             |         78734.02            |           595.54            |       671.22
        37             |         78057.76            |           590.51            |       676.25
        38             |         77376.44            |           585.43            |       681.32
        39             |         76690.00            |           580.32            |       686.43
        40             |         75998.42            |           575.18            |       691.58
        41             |         75301.65            |           569.99            |       696.77
        42             |         74599.66            |           564.76            |       702.00
        43             |         73892.40            |           559.50            |       707.26
        44             |         73179.83            |           554.19            |       712.56
        45             |         72461.92            |           548.85            |       717.91
        46             |         71738.63            |           543.46            |       723.29
        47             |         71009.91            |           538.04            |       728.72
        48             |         70275.73            |           532.57            |       734.18
        49             |         69536.04            |           527.07            |       739.69
        50             |         68790.80            |           521.52            |       745.24
        51             |         68039.97            |           515.93            |       750.83
        52             |         67283.52            |           510.30            |       756.46
        53             |         66521.38            |           504.63            |       762.13
        54             |         65753.54            |           498.91            |       767.85
        55             |         64979.93            |           493.15            |       773.61
        56             |         64200.52            |           487.35            |       779.41
        57             |         63415.27            |           481.50            |       785.25
        58             |         62624.13            |           475.61            |       791.14
        59             |         61827.05            |           469.68            |       797.08
        60             |         61023.99            |           463.70            |       803.05
        61             |         60214.92            |           457.68            |       809.08
        62             |         59399.77            |           451.61            |       815.15
        63             |         58578.51            |           445.50            |       821.26
        64             |         57751.09            |           439.34            |       827.42
        65             |         56917.47            |           433.13            |       833.62
        66             |         56077.59            |           426.88            |       839.88
        67             |         55231.41            |           420.58            |       846.18
        68             |         54378.89            |           414.24            |       852.52
        69             |         53519.98            |           407.84            |       858.92
        70             |         52654.62            |           401.40            |       865.36
        71             |         51782.77            |           394.91            |       871.85
        72             |         50904.38            |           388.37            |       878.39
        73             |         50019.41            |           381.78            |       884.97
        74             |         49127.80            |           375.15            |       891.61
        75             |         48229.50            |           368.46            |       898.30
        76             |         47324.46            |           361.72            |       905.04
        77             |         46412.64            |           354.93            |       911.82
        78             |         45493.97            |           348.09            |       918.66
        79             |         44568.42            |           341.20            |       925.55
        80             |         43635.93            |           334.26            |       932.49
        81             |         42696.44            |           327.27            |       939.49
        82             |         41749.90            |           320.22            |       946.53
        83             |         40796.27            |           313.12            |       953.63
        84             |         39835.48            |           305.97            |       960.79
        85             |         38867.49            |           298.77            |       967.99
        86             |         37892.24            |           291.51            |       975.25
        87             |         36909.67            |           284.19            |       982.57
        88             |         35919.74            |           276.82            |       989.94
        89             |         34922.38            |           269.40            |       997.36
        90             |         33917.54            |           261.92            |      1004.84
        91             |         32905.16            |           254.38            |      1012.38
        92             |         31885.19            |           246.79            |      1019.97
        93             |         30857.58            |           239.14            |      1027.62
        94             |         29822.25            |           231.43            |      1035.33
        95             |         28779.16            |           223.67            |      1043.09
        96             |         27728.25            |           215.84            |      1050.91
        97             |         26669.45            |           207.96            |      1058.80
        98             |         25602.71            |           200.02            |      1066.74
        99             |         24527.98            |           192.02            |      1074.74
       100             |         23445.18            |           183.96            |      1082.80
       101             |         22354.26            |           175.84            |      1090.92
       102             |         21255.16            |           167.66            |      1099.10
       103             |         20147.81            |           159.41            |      1107.34
       104             |         19032.16            |           151.11            |      1115.65
       105             |         17908.15            |           142.74            |      1124.02
       106             |         16775.70            |           134.31            |      1132.45
       107             |         15634.76            |           125.82            |      1140.94
       108             |         14485.26            |           117.26            |      1149.50
       109             |         13327.15            |           108.64            |      1158.12
       110             |         12160.34            |            99.95            |      1166.80
       111             |         10984.79            |            91.20            |      1175.56
       112             |          9800.41            |            82.39            |      1184.37
       113             |          8607.16            |            73.50            |      1193.25
       114             |          7404.96            |            64.55            |      1202.20
       115             |          6193.74            |            55.54            |      1211.22
       116             |          4973.43            |            46.45            |      1220.30
       117             |          3743.97            |            37.30            |      1229.46
       118             |          2505.30            |            28.08            |      1238.68
       119             |          1257.33            |            18.79            |      1247.97
       120             |             0.00            |             9.43            |      1257.33
_________________________________________________________________________________________________
Udgifter i alt:                                                52010.93            |    100000.00
