Time,HR (bpm),Cadence,Temperatures (C)
00:00:00,136,101,28.4
00:00:01,136,101,28.4
00:00:02,136,103,28.4
00:00:03,136,103,28.4
00:00:04,136,102,28.4
00:00:05,137,100,28.5
00:00:06,137,101,28.4
00:00:07,138,99,28.5
00:00:08,139,99,28.4
00:00:09,139,99,28.5
00:00:10,140,100,28.4
00:00:13,140,97,28.5
00:00:14,139,96,28.5
00:00:15,139,96,28.4
00:00:16,140,98,28.5
00:00:17,140,94,28.4
00:00:18,140,92,28.5
00:00:19,139,90,28.5
00:00:20,139,92,28.5
00:00:21,138,93,28.5
00:00:22,137,94,28.5
00:00:23,137,95,28.5
00:00:24,136,96,28.5
00:00:25,136,95,28.5
00:00:26,135,94,28.4
00:00:30,135,89,28.4
00:00:31,135,83,28.4
00:00:32,134,43,28.4
00:00:33,135,25,28.4
00:00:34,134,17,28.5
00:00:35,135,0,28.4
00:00:36,134,0,28.4
00:00:37,134,0,28.4
00:00:38,134,0,28.4
00:00:39,134,0,28.4
00:00:40,134,0,28.4
00:00:41,135,0,28.4
00:00:42,135,0,28.3
00:00:43,135,0,28.4
00:00:44,135,0,28.4
00:00:45,135,0,28.4
00:00:46,134,78,28.4
00:00:47,133,43,28.3
00:00:48,132,25,28.4
00:00:49,130,17,28.4
00:00:50,130,0,28.4
00:00:51,131,0,28.4
00:00:52,131,0,28.4
00:00:53,132,97,28.4
00:00:54,133,98,28.3
00:00:55,133,100,28.4
00:00:56,133,101,28.4
00:00:57,133,101,28.4
00:00:58,132,101,28.4
00:00:59,131,99,28.4
00:01:00,132,99,28.4
00:01:01,132,99,28.4
00:01:02,132,100,28.4
00:01:03,133,100,28.4
00:01:04,133,100,28.5
00:01:05,133,99,28.5
00:01:06,134,100,28.4
00:01:07,134,102,28.5
00:01:08,135,101,28.3
00:01:09,136,101,28.3
00:01:10,136,104,28.5
00:01:11,137,105,28.5
00:01:12,137,105,28.4
00:01:13,138,104,28.5
00:01:14,139,106,28.5
00:01:15,139,104,28.4
00:01:16,140,103,28.4
00:01:17,141,103,28.5
00:01:18,142,103,28.5
00:01:19,143,102,28.4
00:01:20,143,103,28.5
00:01:21,144,103,28.5
00:01:22,144,102,28.4
00:01:23,144,102,28.5
00:01:24,145,102,28.4
00:01:25,145,100,28.4
00:01:26,145,100,28.5
00:01:27,145,100,28.4
00:01:28,145,99,28.5
00:01:29,146,98,28.5
00:01:30,146,97,28.5
00:01:31,146,97,28.5
00:01:32,146,95,28.5
00:01:33,146,94,28.5
00:01:34,146,94,28.5
00:01:35,146,95,28.5
00:01:36,146,93,28.5
00:01:37,146,93,28.5
00:01:38,146,91,28.5
00:01:39,146,93,28.5
00:01:40,146,91,28.5
00:01:41,146,92,28.5
00:01:42,146,92,28.5
00:01:43,146,92,28.5
00:01:44,147,91,28.5
00:01:45,146,91,28.4
00:01:46,146,91,28.5
00:01:47,146,91,28.5
00:01:48,147,94,28.5
00:01:49,147,107,28.5
00:01:50,147,120,28.5
00:01:51,148,129,28.5
00:01:52,149,128,28.5
00:01:53,149,125,28.5
00:01:54,150,122,28.4
00:01:55,151,117,28.5
00:01:56,152,115,28.5
00:01:57,153,115,28.5
00:01:58,154,117,28.5
00:01:59,155,115,28.4
00:02:00,156,116,28.5
00:02:01,156,114,28.5
00:02:02,157,114,28.5
00:02:03,157,115,28.5
00:02:04,158,114,28.5
00:02:05,158,113,28.4
00:02:06,158,113,28.5
00:02:07,159,112,28.5
00:02:08,159,110,28.5
00:02:09,159,112,28.4
00:02:10,159,111,28.5
00:02:11,159,111,28.5
00:02:12,159,111,28.5
00:02:13,159,111,28.5
00:02:14,159,110,28.5
00:02:18,159,112,28.5
00:02:19,160,110,28.6
00:02:20,160,111,28.5
00:02:21,160,111,28.5
00:02:22,160,110,28.5
00:02:23,160,110,28.5
00:02:24,161,111,28.5
00:02:25,161,111,28.5
00:02:26,161,115,28.5
00:02:27,162,114,28.4
00:02:28,162,113,28.5
00:02:29,162,112,28.5
00:02:30,163,107,28.5
00:02:31,163,106,28.5
00:02:32,163,103,28.5
00:02:33,164,102,28.4
00:02:34,164,101,28.5
00:02:35,164,102,28.5
00:02:36,164,101,28.5
00:02:37,164,102,28.5
00:02:38,165,101,28.4
00:02:39,165,102,28.5
00:02:40,165,102,28.5
00:02:41,165,102,28.5
00:02:42,165,101,28.5
00:02:43,165,102,28.5
00:02:44,166,102,28.5
00:02:45,166,100,28.5
00:02:46,166,100,28.3
00:02:47,166,101,28.4
00:02:48,166,100,28.6
00:02:49,166,99,28.5
00:02:50,166,99,28.5
00:02:51,166,98,28.5
00:02:52,166,99,28.4
00:02:53,166,97,28.5
00:02:54,166,98,28.5
00:02:55,165,96,28.4
00:02:56,165,97,28.5
00:02:57,165,96,28.5
00:02:58,165,96,28.4
00:02:59,165,95,28.4
00:03:00,165,96,28.5
00:03:01,165,96,28.4
00:03:02,165,96,28.5
00:03:06,165,98,28.5
00:03:07,165,99,28.5
00:03:08,165,98,28.5
00:03:09,165,97,28.4
00:03:10,165,96,28.5
00:03:11,165,96,28.5
00:03:12,165,96,28.4
00:03:13,165,95,28.5
00:03:14,165,95,28.5
00:03:15,165,96,28.5
00:03:16,164,96,28.4
00:03:17,164,96,28.4
00:03:18,164,97,28.5
00:03:19,164,98,28.5
00:03:20,164,96,28.4
00:03:21,164,97,28.5
00:03:22,164,96,28.4
00:03:25,164,91,28.5
00:03:26,164,88,28.5
00:03:27,164,87,28.4
00:03:28,164,87,28.5
00:03:29,164,88,28.4
00:03:30,164,89,28.5
00:03:31,164,91,28.5
00:03:32,163,92,28.4
00:03:33,163,92,28.5
00:03:34,163,93,28.5
00:03:35,163,94,28.5
00:03:36,163,92,28.5
00:03:37,163,90,28.5
00:03:38,162,90,28.5
00:03:39,162,88,28.5
00:03:40,162,88,28.5
00:03:41,161,89,28.4
00:03:42,160,90,28.5
00:03:43,160,90,28.5
00:03:44,160,91,28.5
00:03:45,160,91,28.5
00:03:46,159,90,28.5
00:03:47,159,90,28.5
00:03:48,159,88,28.4
00:03:49,159,88,28.5
00:03:50,158,89,28.5
00:03:51,158,87,28.5
00:03:52,158,87,28.5
00:03:53,157,87,28.5
00:03:54,157,87,28.5
00:03:55,156,87,28.5
00:03:56,155,89,28.5
00:03:57,155,89,28.5
00:03:58,155,90,28.5
00:03:59,155,89,28.5
00:04:00,156,90,28.5
00:04:01,156,90,28.5
00:04:02,156,91,28.5
00:04:03,156,92,28.5
00:04:04,155,91,28.6
00:04:05,155,91,28.5
00:04:06,154,90,28.5
00:04:07,153,91,28.6
00:04:08,153,91,28.6
00:04:09,153,91,28.6
00:04:10,152,91,28.5
00:04:11,152,91,28.6
00:04:12,152,92,28.5
00:04:13,152,93,28.5
00:04:14,152,94,28.5
00:04:15,153,96,28.5
